,Company,Flight_Num,Dep,Sche,Dept,Type,Status,Date
32,아시아나항공,OZ8910,GMP(김포),11:30,11:43,여객,출발,2007-01-01
33,제주항공,7C110,GMP(김포),11:55,12:04,여객,출발,2007-01-01
34,아시아나항공,OZ8942,GMP(김포),12:00,12:09,여객,출발,2007-01-01
35,원동항공,EF305,TPE(타오위안 국제 공항),12:00,12:24,여객,출발,2007-01-01
36,대한항공,KE1010,PUS(김해),12:05,12:17,여객,출발,2007-01-01
37,대한항공,KE1804,TAE(대구),12:10,12:20,여객,출발,2007-01-01
38,아시아나항공,OZ8912,GMP(김포),12:10,12:26,여객,출발,2007-01-01
39,대한항공,KE1852,WJU(원주),12:20,12:30,여객,출발,2007-01-01
40,아시아나항공,OZ8126,TAE(대구),12:25,12:32,여객,출발,2007-01-01
41,아시아나항공,OZ8914,GMP(김포),12:25,12:34,여객,출발,2007-01-01
42,대한항공,KE755,NGO(나고야),12:30,12:28,여객,출발,2007-01-01
43,대한항공,KE1218,GMP(김포),12:35,12:50,여객,출발,2007-01-01
44,중국동방항공,MU5036,PVG(푸동),12:45,12:38,여객,출발,2007-01-01
45,대한항공,KE1220,GMP(김포),12:50,13:07,여객,출발,2007-01-01
46,대한항공,KE1222,GMP(김포),13:00,13:16,여객,출발,2007-01-01
47,대한항공,KE1904,KWJ(광주),13:00,13:12,여객,출발,2007-01-01
48,대한항공,KE1226,GMP(김포),13:30,13:47,여객,출발,2007-01-01
49,아시아나항공,OZ8104,PUS(김해),13:30,14:00,여객,지연,2007-01-01
50,중국동방항공,MU274,PEK(베이징),13:35,13:36,여객,출발,2007-01-01
51,제주항공,7C112,GMP(김포),13:35,13:45,여객,출발,2007-01-01
52,HAN,HS204,GMP(김포),13:40,13:53,여객,출발,2007-01-01
53,아시아나항공,OZ8916,GMP(김포),13:45,14:02,여객,출발,2007-01-01
54,대한항공,KE1484,ICN(인천),13:50,14:06,여객,출발,2007-01-01
55,제주항공,7C114,GMP(김포),13:50,14:11,여객,출발,2007-01-01
56,대한항공,KE1954,CJJ(청주),13:50,14:13,여객,출발,2007-01-01
57,대한항공,KE1014,PUS(김해),14:20,14:38,여객,출발,2007-01-01
58,원동항공,EF301,TPE(타오위안 국제 공항),14:35,13:51,여객,출발,2007-01-01
59,제주항공,7C116,GMP(김포),14:40,14:53,여객,출발,2007-01-01
60,아시아나항공,OZ8144,KWJ(광주),14:40,14:51,여객,출발,2007-01-01
61,대한항공,KE1016,PUS(김해),15:00,15:18,여객,출발,2007-01-01
62,대한항공,KE1234,GMP(김포),15:00,15:11,여객,출발,2007-01-01
63,원동항공,EF303,TPE(타오위안 국제 공항),15:10,15:25,여객,출발,2007-01-01
64,중국동방항공,MU5038,PVG(푸동),15:15,15:05,,출발,2007-01-01
65,아시아나항공,OZ8234,CJJ(청주),15:20,15:32,여객,출발,2007-01-01
66,아시아나항공,OZ8918,GMP(김포),15:20,15:30,여객,출발,2007-01-01
67,제주항공,7C118,GMP(김포),15:20,15:24,여객,출발,2007-01-01
68,대한항공,KE1906,KWJ(광주),15:35,15:46,여객,출발,2007-01-01
69,대한항공,KE1806,TAE(대구),15:40,15:49,여객,출발,2007-01-01
70,아시아나항공,OZ8552,ICN(인천),15:50,16:00,여객,출발,2007-01-01
71,아시아나항공,OZ8920,GMP(김포),15:55,16:05,여객,출발,2007-01-01
72,대한항공,KE1238,GMP(김포),16:00,16:14,여객,출발,2007-01-01
73,아시아나항공,OZ8146,KWJ(광주),16:10,16:31,여객,출발,2007-01-01
74,대한항공,KE1240,GMP(김포),16:25,16:40,여객,출발,2007-01-01
75,대한항공,KE1244,GMP(김포),16:45,17:06,여객,출발,2007-01-01
76,제주항공,7C120,GMP(김포),16:55,17:15,여객,출발,2007-01-01
77,아시아나항공,OZ8236,CJJ(청주),17:00,17:32,여객,지연,2007-01-01
78,아시아나항공,OZ8922,GMP(김포),17:00,17:29,여객,출발,2007-01-01
79,대한항공,KE1242,GMP(김포),17:05,17:19,여객,출발,2007-01-01
80,제주항공,7C504,PUS(김해),17:10,17:34,여객,출발,2007-01-01
81,대한항공,KE1246,GMP(김포),17:10,17:21,여객,출발,2007-01-01
82,대한항공,KE1082,PUS(김해),17:10,17:25,여객,출발,2007-01-01
83,대한항공,KE1916,KUV(군산),17:15,17:31,여객,출발,2007-01-01
84,아시아나항공,OZ8128,TAE(대구),17:20,17:42,여객,출발,2007-01-01
85,HAN,HS304,CJJ(청주),17:30,17:53,여객,출발,2007-01-01
86,대한항공,KE1486,ICN(인천),17:30,17:46,여객,출발,2007-01-01
87,중국동방항공,MU2072,PVG(푸동),17:30,18:02,,출발,2007-01-01
88,대한항공,KE1018,PUS(김해),17:35,18:11,여객,지연,2007-01-01
89,아시아나항공,OZ8592,ICN(인천),17:40,17:57,여객,출발,2007-01-01
90,원동항공,EF307,TPE(타오위안 국제 공항),17:50,18:20,여객,출발,2007-01-01
91,대한항공,KE1020,PUS(김해),18:00,18:13,여객,출발,2007-01-01
92,제주항공,7C506,PUS(김해),18:00,18:17,여객,출발,2007-01-01
93,대한항공,KE717,NRT(나리타),18:10,18:15,여객,출발,2007-01-01
94,아시아나항공,OZ8974,GMP(김포),18:10,18:32,여객,출발,2007-01-01
95,아시아나항공,OZ8926,GMP(김포),18:15,18:25,여객,출발,2007-01-01
96,대한항공,KE1252,GMP(김포),18:20,18:34,여객,출발,2007-01-01
97,대한항공,KE733,KIX(간사이),18:30,18:37,여객,출발,2007-01-01
98,아시아나항공,OZ8594,ICN(인천),18:30,18:48,여객,출발,2007-01-01
99,대한항공,KE1024,PUS(김해),18:30,18:45,여객,출발,2007-01-01
100,아시아나항공,OZ8106,PUS(김해),18:35,18:50,여객,출발,2007-01-01
101,대한항공,KE1908,KWJ(광주),18:40,18:54,여객,출발,2007-01-01
102,대한항공,KE1254,GMP(김포),18:40,18:56,여객,출발,2007-01-01
103,아시아나항공,OZ8928,GMP(김포),18:45,19:00,여객,출발,2007-01-01
104,대한항공,KE1488,ICN(인천),18:55,19:15,여객,출발,2007-01-01
105,대한항공,KE1022,PUS(김해),19:05,19:18,여객,출발,2007-01-01
106,부흥항공,GE863,TPE(타오위안 국제 공항),19:30,:,여객,,2007-01-01
107,대한항공,KE1958,CJJ(청주),19:30,19:38,여객,출발,2007-01-01
108,대한항공,KE1256,GMP(김포),19:30,19:45,여객,출발,2007-01-01
109,제주항공,7C122,GMP(김포),19:50,20:14,여객,출발,2007-01-01
110,아시아나항공,OZ8130,TAE(대구),20:00,20:27,여객,출발,2007-01-01
111,대한항공,KE1260,GMP(김포),20:05,20:20,여객,출발,2007-01-01
112,대한항공,KE1810,TAE(대구),20:05,20:16,여객,출발,2007-01-01
113,대한항공,KE1492,ICN(인천),20:10,20:32,여객,출발,2007-01-01
114,아시아나항공,OZ8238,CJJ(청주),20:15,20:34,여객,출발,2007-01-01
115,아시아나항공,OZ8148,KWJ(광주),20:15,20:23,여객,출발,2007-01-01
116,제주항공,7C124,GMP(김포),20:20,20:43,여객,출발,2007-01-01
117,대한항공,KE1490,ICN(인천),20:20,20:37,여객,출발,2007-01-01
118,아시아나항공,OZ8932,GMP(김포),20:25,20:39,여객,출발,2007-01-01
119,대한항공,KE1264,GMP(김포),20:30,20:46,여객,출발,2007-01-01
120,대한항공,KE1028,PUS(김해),20:40,20:51,여객,출발,2007-01-01
121,제주항공,7C126,GMP(김포),20:40,20:57,여객,출발,2007-01-01
122,대한항공,KE1266,GMP(김포),20:50,21:02,여객,출발,2007-01-01
123,제주항공,7C128,GMP(김포),20:55,21:07,여객,출발,2007-01-01
124,대한항공,KE1268,GMP(김포),21:00,21:08,여객,출발,2007-01-01
125,HAN,HS306,CJJ(청주),21:05,21:17,여객,출발,2007-01-01
126,아시아나항공,OZ8936,GMP(김포),21:10,21:22,여객,출발,2007-01-01
127,아시아나항공,OZ8972,GMP(김포),21:15,21:21,여객,출발,2007-01-01
128,아시아나항공,OZ8938,GMP(김포),21:20,21:39,여객,출발,2007-01-01
129,아시아나항공,OZ8596,ICN(인천),21:30,21:45,여객,출발,2007-01-01
0,대한항공,KE1200,GMP(김포),07:05,07:17,여객,출발,2007-01-02
1,제주항공,7C102,GMP(김포),07:10,07:23,여객,출발,2007-01-02
2,아시아나항공,OZ8902,GMP(김포),07:25,07:38,여객,출발,2007-01-02
3,대한항공,KE1002,PUS(김해),08:00,08:13,여객,출발,2007-01-02
4,제주항공,7C104,GMP(김포),08:10,08:18,여객,출발,2007-01-02
5,대한항공,KE1004,PUS(김해),08:20,08:32,여객,출발,2007-01-02
6,대한항공,KE1006,PUS(김해),08:25,08:38,여객,출발,2007-01-02
7,아시아나항공,OZ8100,PUS(김해),08:30,08:41,여객,출발,2007-01-02
8,제주항공,7C500,PUS(김해),08:40,08:50,여객,출발,2007-01-02
9,대한항공,KE1204,GMP(김포),08:40,08:54,여객,출발,2007-01-02
10,대한항공,KE1206,GMP(김포),08:55,09:05,여객,출발,2007-01-02
11,아시아나항공,OZ8904,GMP(김포),09:00,09:11,여객,출발,2007-01-02
12,대한항공,KE1802,TAE(대구),09:00,09:16,여객,출발,2007-01-02
13,대한항공,KE1208,GMP(김포),09:10,09:22,여객,출발,2007-01-02
14,아시아나항공,OZ8906,GMP(김포),09:25,11:47,여객,지연,2007-01-02
15,아시아나항공,OZ8232,CJJ(청주),09:30,09:45,여객,출발,2007-01-02
16,아시아나항공,OZ8122,TAE(대구),09:30,09:40,여객,출발,2007-01-02
17,대한항공,KE1210,GMP(김포),09:50,10:02,여객,출발,2007-01-02
18,대한항공,KE1952,CJJ(청주),09:50,10:00,여객,출발,2007-01-02
19,제주항공,7C106,GMP(김포),09:55,10:08,여객,출발,2007-01-02
20,HAN,HS302,CJJ(청주),10:15,10:26,여객,출발,2007-01-02
21,대한항공,KE1902,KWJ(광주),10:20,:,여객,,2007-01-02
22,아시아나항공,OZ8908,GMP(김포),10:35,10:57,여객,출발,2007-01-02
23,아시아나항공,OZ8142,KWJ(광주),11:00,12:04,여객,지연,2007-01-02
24,대한항공,KE1214,GMP(김포),11:00,11:14,여객,출발,2007-01-02
25,아시아나항공,OZ8944,GMP(김포),11:05,11:20,여객,출발,2007-01-02
26,제주항공,7C502,PUS(김해),11:10,11:25,여객,출발,2007-01-02
27,제주항공,7C108,GMP(김포),11:20,11:39,여객,출발,2007-01-02
28,대한항공,KE1008,PUS(김해),11:20,11:37,여객,출발,2007-01-02
29,아시아나항공,OZ8910,GMP(김포),11:30,13:27,여객,지연,2007-01-02
30,원동항공,EF305,TPE(타오위안 국제 공항),12:00,12:38,여객,출발,2007-01-02
31,대한항공,KE1804,TAE(대구),12:10,12:19,여객,출발,2007-01-02
32,아시아나항공,OZ8912,GMP(김포),12:10,12:26,여객,출발,2007-01-02
33,대한항공,KE1852,WJU(원주),12:20,12:29,여객,출발,2007-01-02
34,아시아나항공,OZ8126,TAE(대구),12:25,12:47,여객,출발,2007-01-02
35,아시아나항공,OZ8914,GMP(김포),12:25,12:42,여객,출발,2007-01-02
36,대한항공,KE1010,PUS(김해),12:30,12:46,여객,출발,2007-01-02
37,대한항공,KE1218,GMP(김포),12:35,12:52,여객,출발,2007-01-02
38,중국동방항공,MU5036,PVG(푸동),12:45,12:49,여객,출발,2007-01-02
39,대한항공,KE1220,GMP(김포),12:50,13:08,여객,출발,2007-01-02
40,제주항공,7C110,GMP(김포),12:55,13:10,여객,출발,2007-01-02
41,대한항공,KE1222,GMP(김포),13:00,13:15,여객,출발,2007-01-02
42,대한항공,KE1904,KWJ(광주),13:00,13:20,여객,출발,2007-01-02
43,대한항공,KE1954,CJJ(청주),13:20,13:31,여객,출발,2007-01-02
44,대한항공,KE1226,GMP(김포),13:30,13:40,여객,출발,2007-01-02
45,아시아나항공,OZ8104,PUS(김해),13:30,14:25,여객,지연,2007-01-02
46,중국동방항공,MU274,PEK(베이징),13:35,13:29,여객,출발,2007-01-02
47,제주항공,7C112,GMP(김포),13:35,:,여객,,2007-01-02
48,HAN,HS204,GMP(김포),13:40,13:50,여객,출발,2007-01-02
49,대한항공,KE1012,PUS(김해),13:40,13:55,여객,출발,2007-01-02
50,아시아나항공,OZ8916,GMP(김포),13:45,14:07,여객,출발,2007-01-02
51,제주항공,7C114,GMP(김포),13:50,14:03,여객,출발,2007-01-02
52,대한항공,KE1230,GMP(김포),14:00,14:13,여객,출발,2007-01-02
53,대한항공,KE1014,PUS(김해),14:20,14:42,여객,출발,2007-01-02
54,원동항공,EF301,TPE(타오위안 국제 공항),14:35,13:38,여객,출발,2007-01-02
55,제주항공,7C116,GMP(김포),14:40,14:47,여객,출발,2007-01-02
56,아시아나항공,OZ8924,GMP(김포),14:40,14:52,여객,출발,2007-01-02
57,아시아나항공,OZ8144,KWJ(광주),14:40,14:49,여객,출발,2007-01-02
58,대한항공,KE1234,GMP(김포),15:00,15:16,여객,출발,2007-01-02
59,원동항공,EF303,TPE(타오위안 국제 공항),15:10,15:18,여객,출발,2007-01-02
60,중국동방항공,MU5038,PVG(푸동),15:15,15:10,,출발,2007-01-02
61,아시아나항공,OZ8918,GMP(김포),15:20,15:29,여객,출발,2007-01-02
62,아시아나항공,OZ8234,CJJ(청주),15:20,15:31,여객,출발,2007-01-02
63,대한항공,KE1906,KWJ(광주),15:35,16:16,여객,지연,2007-01-02
64,대한항공,KE1806,TAE(대구),15:40,15:51,여객,출발,2007-01-02
65,아시아나항공,OZ8920,GMP(김포),15:55,17:25,여객,지연,2007-01-02
66,대한항공,KE1238,GMP(김포),16:00,16:11,여객,출발,2007-01-02
67,아시아나항공,OZ8146,KWJ(광주),16:10,16:25,여객,출발,2007-01-02
68,아시아나항공,OZ8108,PUS(김해),16:20,16:29,,출발,2007-01-02
69,대한항공,KE1956,CJJ(청주),16:20,16:43,여객,출발,2007-01-02
70,제주항공,7C118,GMP(김포),16:20,16:35,여객,출발,2007-01-02
71,대한항공,KE1240,GMP(김포),16:25,16:39,여객,출발,2007-01-02
72,대한항공,KE1244,GMP(김포),16:45,17:00,여객,출발,2007-01-02
73,아시아나항공,OZ8922,GMP(김포),17:00,17:17,여객,출발,2007-01-02
74,아시아나항공,OZ8236,CJJ(청주),17:00,17:13,여객,출발,2007-01-02
75,제주항공,7C504,PUS(김해),17:10,17:31,여객,출발,2007-01-02
76,대한항공,KE1246,GMP(김포),17:10,17:29,여객,출발,2007-01-02
77,대한항공,KE1916,KUV(군산),17:15,17:40,여객,출발,2007-01-02
78,아시아나항공,OZ8128,TAE(대구),17:20,17:33,여객,출발,2007-01-02
79,HAN,HS304,CJJ(청주),17:30,17:38,여객,출발,2007-01-02
80,중국동방항공,MU2072,PVG(푸동),17:30,17:37,,출발,2007-01-02
81,대한항공,KE1018,PUS(김해),17:35,17:50,여객,출발,2007-01-02
82,원동항공,EF307,TPE(타오위안 국제 공항),17:50,18:07,여객,출발,2007-01-02
83,제주항공,7C120,GMP(김포),17:55,17:59,여객,출발,2007-01-02
84,아시아나항공,OZ8112,PUS(김해),18:00,18:13,,출발,2007-01-02
85,대한항공,KE1020,PUS(김해),18:00,18:17,여객,출발,2007-01-02
86,제주항공,7C506,PUS(김해),18:00,18:10,여객,출발,2007-01-02
87,대한항공,KE717,NRT(나리타),18:10,18:20,여객,출발,2007-01-02
88,아시아나항공,OZ8926,GMP(김포),18:15,18:29,여객,출발,2007-01-02
89,대한항공,KE1252,GMP(김포),18:20,18:53,여객,지연,2007-01-02
90,대한항공,KE733,KIX(간사이),18:30,18:42,여객,출발,2007-01-02
91,대한항공,KE1024,PUS(김해),18:30,18:44,여객,출발,2007-01-02
92,아시아나항공,OZ8106,PUS(김해),18:35,18:47,여객,출발,2007-01-02
93,대한항공,KE1908,KWJ(광주),18:40,18:56,여객,출발,2007-01-02
94,대한항공,KE1254,GMP(김포),18:40,18:58,여객,출발,2007-01-02
95,아시아나항공,OZ8928,GMP(김포),18:45,19:05,여객,출발,2007-01-02
96,대한항공,KE1242,GMP(김포),18:50,19:02,여객,출발,2007-01-02
97,대한항공,KE795,FUK(후쿠오카),19:00,19:08,여객,출발,2007-01-02
98,대한항공,KE1022,PUS(김해),19:05,19:20,여객,출발,2007-01-02
99,아시아나항공,OZ136,FUK(후쿠오카),19:30,19:45,여객,출발,2007-01-02
100,대한항공,KE1256,GMP(김포),19:30,19:41,여객,출발,2007-01-02
101,대한항공,KE1958,CJJ(청주),19:30,19:49,여객,출발,2007-01-02
102,부흥항공,GE863,TPE(타오위안 국제 공항),19:30,19:23,여객,출발,2007-01-02
103,제주항공,7C122,GMP(김포),19:50,19:57,여객,출발,2007-01-02
104,아시아나항공,OZ8130,TAE(대구),20:00,20:09,여객,출발,2007-01-02
105,대한항공,KE1810,TAE(대구),20:05,20:31,여객,출발,2007-01-02
106,대한항공,KE1260,GMP(김포),20:05,20:15,여객,출발,2007-01-02
107,아시아나항공,OZ8238,CJJ(청주),20:15,20:26,여객,출발,2007-01-02
108,아시아나항공,OZ8148,KWJ(광주),20:15,20:33,여객,출발,2007-01-02
109,아시아나항공,OZ8932,GMP(김포),20:25,20:35,여객,출발,2007-01-02
110,대한항공,KE1264,GMP(김포),20:30,20:42,여객,출발,2007-01-02
111,아시아나항공,OZ8934,GMP(김포),20:40,20:48,여객,출발,2007-01-02
112,제주항공,7C126,GMP(김포),20:40,20:47,여객,출발,2007-01-02
113,대한항공,KE1266,GMP(김포),20:50,21:03,여객,출발,2007-01-02
114,제주항공,7C128,GMP(김포),20:55,21:05,여객,출발,2007-01-02
115,대한항공,KE1268,GMP(김포),21:00,21:09,여객,출발,2007-01-02
116,제주항공,7C124,GMP(김포),21:05,21:10,여객,출발,2007-01-02
117,HAN,HS306,CJJ(청주),21:05,21:15,여객,출발,2007-01-02
118,아시아나항공,OZ8936,GMP(김포),21:10,21:14,여객,출발,2007-01-02
119,아시아나항공,OZ8938,GMP(김포),21:20,21:30,여객,출발,2007-01-02
0,대한항공,KE1200,GMP(김포),07:05,07:15,여객,출발,2007-01-03
1,제주항공,7C102,GMP(김포),07:10,07:22,여객,출발,2007-01-03
2,아시아나항공,OZ8902,GMP(김포),07:25,07:35,여객,출발,2007-01-03
3,대한항공,KE1002,PUS(김해),08:00,08:14,여객,출발,2007-01-03
4,제주항공,7C104,GMP(김포),08:10,08:16,여객,출발,2007-01-03
5,대한항공,KE1004,PUS(김해),08:20,08:28,여객,출발,2007-01-03
6,대한항공,KE1006,PUS(김해),08:25,08:35,여객,출발,2007-01-03
7,아시아나항공,OZ8100,PUS(김해),08:30,08:38,여객,출발,2007-01-03
8,제주항공,7C500,PUS(김해),08:40,08:49,여객,출발,2007-01-03
9,대한항공,KE1204,GMP(김포),08:40,08:50,여객,출발,2007-01-03
10,대한항공,KE1206,GMP(김포),08:55,09:08,여객,출발,2007-01-03
11,아시아나항공,OZ8904,GMP(김포),09:00,09:15,여객,출발,2007-01-03
12,대한항공,KE1802,TAE(대구),09:00,09:13,여객,출발,2007-01-03
13,대한항공,KE1208,GMP(김포),09:10,09:22,여객,출발,2007-01-03
14,아시아나항공,OZ8906,GMP(김포),09:25,11:50,여객,지연,2007-01-03
15,아시아나항공,OZ8232,CJJ(청주),09:30,09:42,여객,출발,2007-01-03
16,아시아나항공,OZ8122,TAE(대구),09:30,09:38,여객,출발,2007-01-03
17,대한항공,KE1210,GMP(김포),09:50,10:07,여객,출발,2007-01-03
18,대한항공,KE1952,CJJ(청주),09:50,09:57,여객,출발,2007-01-03
19,제주항공,7C106,GMP(김포),09:55,10:12,여객,출발,2007-01-03
20,HAN,HS302,CJJ(청주),10:15,10:25,여객,출발,2007-01-03
21,대한항공,KE1902,KWJ(광주),10:20,12:45,여객,지연,2007-01-03
22,아시아나항공,OZ8908,GMP(김포),10:35,10:49,여객,출발,2007-01-03
23,대한항공,KE1214,GMP(김포),11:00,11:13,여객,출발,2007-01-03
24,아시아나항공,OZ8142,KWJ(광주),11:00,11:17,여객,출발,2007-01-03
25,제주항공,7C502,PUS(김해),11:10,11:25,여객,출발,2007-01-03
26,제주항공,7C108,GMP(김포),11:20,11:36,여객,출발,2007-01-03
27,대한항공,KE1008,PUS(김해),11:20,11:42,여객,출발,2007-01-03
28,대한항공,KE1910,KWJ(광주),11:20,11:30,여객,출발,2007-01-03
29,아시아나항공,OZ8910,GMP(김포),11:30,11:55,여객,출발,2007-01-03
30,대한항공,KE1914,KUV(군산),12:00,12:07,여객,출발,2007-01-03
31,원동항공,EF305,TPE(타오위안 국제 공항),12:00,12:41,여객,출발,2007-01-03
32,대한항공,KE1010,PUS(김해),12:05,12:20,여객,출발,2007-01-03
33,대한항공,KE1804,TAE(대구),12:10,12:29,여객,출발,2007-01-03
34,아시아나항공,OZ8912,GMP(김포),12:10,12:24,여객,출발,2007-01-03
35,대한항공,KE1852,WJU(원주),12:20,12:39,여객,출발,2007-01-03
36,아시아나항공,OZ8914,GMP(김포),12:25,12:43,여객,출발,2007-01-03
37,아시아나항공,OZ8126,TAE(대구),12:25,12:48,여객,출발,2007-01-03
38,대한항공,KE755,NGO(나고야),12:30,12:37,여객,출발,2007-01-03
39,중국남방항공,CZ694,SHE(심양),12:35,12:33,,출발,2007-01-03
40,대한항공,KE1218,GMP(김포),12:35,12:50,여객,출발,2007-01-03
41,중국동방항공,MU5036,PVG(푸동),12:45,12:53,여객,출발,2007-01-03
42,대한항공,KE1220,GMP(김포),12:50,:,여객,취소,2007-01-03
43,제주항공,7C110,GMP(김포),12:55,:,여객,,2007-01-03
44,대한항공,KE1904,KWJ(광주),13:00,13:16,여객,출발,2007-01-03
45,대한항공,KE1222,GMP(김포),13:00,13:18,여객,출발,2007-01-03
46,대한항공,KE1954,CJJ(청주),13:20,13:30,여객,출발,2007-01-03
47,대한항공,KE1226,GMP(김포),13:30,13:46,여객,출발,2007-01-03
48,아시아나항공,OZ8104,PUS(김해),13:30,13:36,여객,출발,2007-01-03
49,중국동방항공,MU274,PEK(베이징),13:35,13:40,여객,출발,2007-01-03
50,제주항공,7C112,GMP(김포),13:35,13:42,여객,출발,2007-01-03
51,HAN,HS204,GMP(김포),13:40,13:56,여객,출발,2007-01-03
52,대한항공,KE1012,PUS(김해),13:40,13:51,여객,출발,2007-01-03
53,아시아나항공,OZ8916,GMP(김포),13:45,14:03,여객,출발,2007-01-03
54,제주항공,7C114,GMP(김포),13:50,14:05,여객,출발,2007-01-03
55,대한항공,KE1014,PUS(김해),14:20,14:38,여객,출발,2007-01-03
56,원동항공,EF301,TPE(타오위안 국제 공항),14:35,13:55,여객,출발,2007-01-03
57,제주항공,7C116,GMP(김포),14:40,14:54,여객,출발,2007-01-03
58,아시아나항공,OZ8144,KWJ(광주),14:40,14:57,여객,출발,2007-01-03
59,대한항공,KE1234,GMP(김포),15:00,15:10,여객,출발,2007-01-03
60,대한항공,KE1016,PUS(김해),15:00,15:14,여객,출발,2007-01-03
61,원동항공,EF303,TPE(타오위안 국제 공항),15:10,15:32,여객,출발,2007-01-03
62,중국동방항공,MU5038,PVG(푸동),15:15,15:37,,출발,2007-01-03
63,아시아나항공,OZ8918,GMP(김포),15:20,15:44,여객,출발,2007-01-03
64,아시아나항공,OZ8234,CJJ(청주),15:20,15:41,여객,출발,2007-01-03
65,대한항공,KE1906,KWJ(광주),15:35,15:48,여객,출발,2007-01-03
66,대한항공,KE1806,TAE(대구),15:40,15:59,여객,출발,2007-01-03
67,대한항공,KE1238,GMP(김포),16:00,16:20,여객,출발,2007-01-03
68,아시아나항공,OZ8146,KWJ(광주),16:10,16:24,여객,출발,2007-01-03
69,아시아나항공,OZ8924,GMP(김포),16:20,16:37,여객,출발,2007-01-03
70,대한항공,KE1956,CJJ(청주),16:20,16:50,여객,지연,2007-01-03
71,제주항공,7C118,GMP(김포),16:20,:,여객,,2007-01-03
72,아시아나항공,OZ8552,ICN(인천),16:20,16:28,여객,출발,2007-01-03
73,대한항공,KE1240,GMP(김포),16:25,16:54,여객,출발,2007-01-03
74,대한항공,KE1244,GMP(김포),16:45,17:03,여객,출발,2007-01-03
75,제주항공,7C120,GMP(김포),16:55,17:08,여객,출발,2007-01-03
76,아시아나항공,OZ8922,GMP(김포),17:00,17:15,여객,출발,2007-01-03
77,아시아나항공,OZ8236,CJJ(청주),17:00,17:11,여객,출발,2007-01-03
78,대한항공,KE1246,GMP(김포),17:10,17:29,여객,출발,2007-01-03
79,대한항공,KE1916,KUV(군산),17:15,17:31,여객,출발,2007-01-03
80,아시아나항공,OZ8128,TAE(대구),17:20,17:34,여객,출발,2007-01-03
81,HAN,HS304,CJJ(청주),17:30,17:42,여객,출발,2007-01-03
82,중국동방항공,MU2072,PVG(푸동),17:30,18:14,,출발,2007-01-03
83,대한항공,KE1018,PUS(김해),17:35,17:48,여객,출발,2007-01-03
84,원동항공,EF307,TPE(타오위안 국제 공항),17:50,18:24,여객,출발,2007-01-03
85,제주항공,7C506,PUS(김해),18:00,18:10,여객,출발,2007-01-03
86,대한항공,KE1020,PUS(김해),18:00,18:16,여객,출발,2007-01-03
87,대한항공,KE717,NRT(나리타),18:10,18:18,여객,출발,2007-01-03
88,아시아나항공,OZ8926,GMP(김포),18:15,18:37,여객,출발,2007-01-03
